step,J,V,Tmax,cold_iters,warm_iters
0,0.0777778,0.0715795,1.00557,2,2
1,0.155556,0.118556,1.01844,3,3
2,0.233333,0.143515,1.03349,3,3
3,0.311111,0.155624,1.04842,4,3
4,0.388889,0.16083,1.06254,4,3
5,0.466667,0.162305,1.07574,4,3
6,0.544444,0.161725,1.08805,5,3
7,0.622222,0.16,1.09956,5,3
8,0.7,0.157643,1.11035,5,3
9,0.777778,0.154951,1.12052,5,3
10,0.855556,0.152101,1.13013,5,3
11,0.933333,0.1492,1.13925,6,3
12,1.01111,0.146311,1.14794,6,3
13,1.08889,0.143473,1.15623,6,3
14,1.16667,0.140711,1.16416,6,3
15,1.24444,0.138035,1.17178,6,3
16,1.32222,0.135454,1.1791,6,3
17,1.4,0.132969,1.18616,6,3
18,1.47778,0.130579,1.19297,6,3
19,1.55556,0.128284,1.19955,6,3
20,1.63333,0.126079,1.20593,6,3
21,1.71111,0.123962,1.21211,7,3
22,1.78889,0.121929,1.21812,7,3
23,1.86667,0.119975,1.22395,7,3
24,1.94444,0.118097,1.22963,7,3
25,2.02222,0.11629,1.23516,7,3
26,2.1,0.114551,1.24056,7,3
27,2.17778,0.112877,1.24582,7,3
28,2.25556,0.111265,1.25096,7,3
29,2.33333,0.109709,1.25599,7,3
30,2.41111,0.108209,1.2609,7,3
31,2.48889,0.106761,1.26572,7,3
32,2.56667,0.105362,1.27043,7,3
33,2.64444,0.10401,1.27505,7,3
34,2.72222,0.102702,1.27958,7,3
35,2.8,0.101436,1.28402,7,3
36,2.87778,0.10021,1.28838,7,3
37,2.95556,0.0990229,1.29267,7,3
38,3.03333,0.0978718,1.29688,7,3
39,3.11111,0.0967552,1.30102,8,3
40,3.18889,0.0956716,1.30509,8,3
41,3.26667,0.0946195,1.30909,8,3
42,3.34444,0.0935974,1.31303,8,3
43,3.42222,0.092604,1.31691,8,3
44,3.5,0.091638,1.32073,8,3
45,3.57778,0.0906983,1.3245,8,3
46,3.65556,0.0897837,1.32821,8,3
47,3.73333,0.0888932,1.33187,8,3
48,3.81111,0.0880257,1.33548,8,3
49,3.88889,0.0871803,1.33903,8,3
50,3.96667,0.0863562,1.34255,8,3
51,4.04444,0.0855525,1.34601,8,3
52,4.12222,0.0847683,1.34943,8,3
53,4.2,0.0840029,1.35281,8,3
54,4.27778,0.0832557,1.35615,8,3
55,4.35556,0.0825259,1.35945,8,3
56,4.43333,0.0818129,1.3627,8,3
57,4.51111,0.081116,1.36592,8,3
58,4.58889,0.0804348,1.36911,8,3
59,4.66667,0.0797685,1.37225,8,3
60,4.74444,0.0791168,1.37537,8,3
61,4.82222,0.078479,1.37844,8,3
62,4.9,0.0778548,1.38149,8,3
63,4.97778,0.0772436,1.3845,8,3
64,5.05556,0.076645,1.38748,8,3
65,5.13333,0.0760587,1.39043,8,3
66,5.21111,0.0754841,1.39336,8,3
67,5.28889,0.074921,1.39625,8,3
68,5.36667,0.0743689,1.39911,8,3
69,5.44444,0.0738276,1.40195,9,3
70,5.52222,0.0732966,1.40476,9,3
71,5.6,0.0727757,1.40754,9,3
72,5.67778,0.0722646,1.4103,9,3
73,5.75556,0.0717629,1.41304,9,2
74,5.83333,0.0712704,1.41574,9,2
75,5.91111,0.0707868,1.41843,9,2
76,5.98889,0.0703118,1.42109,9,2
77,6.06667,0.0698453,1.42373,9,2
78,6.14444,0.069387,1.42634,9,2
79,6.22222,0.0689365,1.42894,9,2
80,6.3,0.0684938,1.43151,9,2
81,6.37778,0.0680586,1.43406,9,2
82,6.45556,0.0676307,1.43659,9,2
83,6.53333,0.0672099,1.4391,9,2
84,6.61111,0.066796,1.4416,9,2
85,6.68889,0.0663888,1.44407,9,2
86,6.76667,0.0659882,1.44652,9,2
87,6.84444,0.065594,1.44895,9,2
88,6.92222,0.065206,1.45137,9,2
89,7,0.0648241,1.45377,9,2
